ID,Person,Survey_Type,Score,Comment,Permalink,Created_At,Updated_At
124765993,610913069,nps,10,The process was very user friendly and streamlined. I didn’t feel overwhelmed while completing the process. ,https://app.delighted.com/r/ClwCHh5FoTs4fBSIBasXtLQHLcyoPhJK,05/07/2020 20:34:44,05/07/2020 20:36:23
124767107,610913171,nps,10,,https://app.delighted.com/r/p7gFSdbQ5MU47kCjiV4X2eN1x3L2Qb24,05/07/2020 20:45:59,05/07/2020 20:45:59
124767116,610912954,nps,9,Very easy to use and for a basic will hits all that you need.,https://app.delighted.com/r/lTF4nhdQ3b0QbhpyA5p7qlLS7MvVnyzu,05/07/2020 20:46:05,05/07/2020 20:46:35
124768118,610912963,nps,10,,https://app.delighted.com/r/3LXFAubnvDSlhenRQMAucJupMxtAbK0e,05/07/2020 20:55:49,05/07/2020 20:55:49
124768659,610913043,nps,10,It was so simple to complete ,https://app.delighted.com/r/203kcClUo6EZOvG2TtMMuE93ggyQBwYH,05/07/2020 21:00:57,05/07/2020 21:01:14
124768836,610912070,nps,10,,https://app.delighted.com/r/YzcHNcAiHxZv8HhlH05KWr5jFVkhw6Ji,05/07/2020 21:02:27,05/07/2020 21:02:27
124769681,610912455,nps,10,Very ,https://app.delighted.com/r/wJonaVojxloLxoJC23Fcb2nPtSEblM5R,05/07/2020 21:10:45,05/07/2020 21:11:02
124770446,610912944,nps,9,,https://app.delighted.com/r/13C8WAbNENb9IJUxq2DTiJO5FIJGNtWk,05/07/2020 21:18:51,05/07/2020 21:18:51
124770892,610912229,nps,10,,https://app.delighted.com/r/a7EtumDysdKFphjNX9ZHuglDtAoPNe9K,05/07/2020 21:23:42,05/07/2020 21:23:42
124772965,610913161,nps,10,The forms were easy to file out and it included all the information you needed.,https://app.delighted.com/r/MQvlhdzvT59j2lqJi78ccSfm0zmmPP1v,05/07/2020 21:45:29,05/07/2020 21:46:17
124780246,610913031,nps,10,,https://app.delighted.com/r/qVflYGI09mETbunGORxorsxaq7gy0DfV,05/07/2020 23:16:01,05/07/2020 23:16:01
124785287,610912886,nps,10,,https://app.delighted.com/r/h4qg3aY1zfHzf16sE0uxh7lm4BvUzfIh,05/08/2020 00:33:01,05/08/2020 00:33:01
124792079,610912200,nps,10,,https://app.delighted.com/r/K5mabVyCRL79vuw8oeOr7GA0fJNyXBbM,05/08/2020 02:42:04,05/08/2020 02:42:04
124795926,610912315,nps,10,,https://app.delighted.com/r/aLV9qRss7i9olgYUjBAFWUWw2YVF4sex,05/08/2020 04:12:56,05/08/2020 04:12:56
124796793,610912375,nps,10,,https://app.delighted.com/r/NEt6jm1mYl84M0P9HlIGVyPRuzIKUk8t,05/08/2020 04:34:52,05/08/2020 04:34:52
124800725,610913045,nps,10,,https://app.delighted.com/r/SvlnN1K0WZeMgepwa69VtG0YOSZwK7Nd,05/08/2020 06:00:22,05/08/2020 06:00:22
124801086,610912146,nps,9,,https://app.delighted.com/r/ABI1ZNIxX3HU6Km1uXaNqRu30siAdSW5,05/08/2020 06:07:02,05/08/2020 06:07:02
124801631,610912121,nps,10,,https://app.delighted.com/r/MtzRuiDbRBBh41I4QwXYXwNA5FLv4uot,05/08/2020 06:17:51,05/08/2020 06:17:51
124802690,610912933,nps,10,Was very easy to fill in information and covered what I needed.,https://app.delighted.com/r/igdokgeu3soH0BL6BnL83qJVudvZVHdg,05/08/2020 06:36:44,05/08/2020 06:37:20
124803737,610912809,nps,10,,https://app.delighted.com/r/gx1E49nR7sSt5o5SrXHxBAMG3e72N7Qj,05/08/2020 06:52:57,05/08/2020 06:52:57
124804347,610912150,nps,10,very easy process,https://app.delighted.com/r/qKGHoDUmVCSCTUb6VIybXtn7TYrLkCu2,05/08/2020 07:01:53,05/08/2020 07:02:04
124806040,610912089,nps,9,,https://app.delighted.com/r/ZSeqDX0XC6cEkfrC3WYKFgWgDakqyfac,05/08/2020 07:21:48,05/08/2020 07:21:48
124806787,610913001,nps,10,Appreciate the services offered,https://app.delighted.com/r/1l9uxKhCgewnZ889MY90fZ2BnAhlOZEA,05/08/2020 07:31:04,05/08/2020 07:31:24
124806887,610913137,nps,10,it was easy and straight forward,https://app.delighted.com/r/KrQu8lIK3TGlR1Q49w9eKGtrsmsR26x2,05/08/2020 07:32:27,05/08/2020 07:32:52
124807029,610912567,nps,7,"it's basic, probably not as detailed as some would like.",https://app.delighted.com/r/11uOwNDj4R18vPLxIXKtbuOGUCLFsJIX,05/08/2020 07:33:52,05/08/2020 07:34:14
124807422,610912880,nps,10,,https://app.delighted.com/r/lXL08zkyuQdzlHt9Wg3USWi93PFhPAzz,05/08/2020 07:38:28,05/08/2020 07:38:28
124807447,610913126,nps,10,Very easy to walk through. ,https://app.delighted.com/r/AQ6kFsviWPMCwWOufrUTuu2RbQlZuqLe,05/08/2020 07:38:40,05/08/2020 07:38:58
124807448,610912776,nps,10,Easy to navigate through Metlife's website.,https://app.delighted.com/r/5AnBU7EKmfRyfJ7DW9aRqgHXR6FTXegW,05/08/2020 07:38:41,05/08/2020 07:39:19
124808090,610912307,nps,9,It was a free service for Atrium Employees that I need to have done and this came at the right time.,https://app.delighted.com/r/5VjFkGYECxLZ4YGVuJ5EVKbHJNdtlmax,05/08/2020 07:45:02,05/08/2020 07:45:39
124808179,610912480,nps,10,,https://app.delighted.com/r/w3N8z1O0WEIOcUDRWpOYn2zoIkFnBO77,05/08/2020 07:45:54,05/08/2020 07:45:54
124808445,610912179,nps,10,The process is very necessary and completing was very simple.  Appearance of documents are very professional.  Thank you,https://app.delighted.com/r/PLn3DtlawpTqm20Tw4NnyKecwVbR1vAP,05/08/2020 07:48:43,05/08/2020 07:50:56
124808519,610912398,nps,10,Very easy to work with,https://app.delighted.com/r/ra0qVbtbCjl5rYN13Nbng0awwj9wpi5g,05/08/2020 07:49:29,05/08/2020 07:50:03
124808576,610913058,nps,10,I appreciate how easy it was to create a will.,https://app.delighted.com/r/9G4uzwqExCaesqi09gVF6jLDIsaJbiRK,05/08/2020 07:50:18,05/08/2020 07:50:41
124808594,610913092,nps,9,,https://app.delighted.com/r/IY8vrM5qQxLzqOmm0YsYDKGlSelU8ZIX,05/08/2020 07:50:34,05/08/2020 07:50:34
124809015,610912758,nps,10,It was super easy to navigate and I was amazed at how quick I was able to complete the documents.,https://app.delighted.com/r/yD5hPR9viVPge1JXsKYMttiQuWGysshZ,05/08/2020 07:55:35,05/08/2020 07:56:14
124809174,610912237,nps,10,,https://app.delighted.com/r/rlVTfWSLGaCNiOjNGLU0wnVJoqUHrRf3,05/08/2020 07:57:29,05/08/2020 07:57:29
